CustomerId,R_score,F_score,M_score,Cluster_Label,Customer_Category
Cust-22136,59.43401,72.023,56.833,2,3. Need Attention
Cust-22137,83.51563,89.751,95.364,5,1. Loyal
Cust-22138,35.5085,30.522,60.947,6,5. One-Time Buy
Cust-22139,34.28766,74.91,75.827,2,3. Need Attention
Cust-22140,35.8027,58.376,75.548,3,4. At Risk
Cust-22141,66.33477,51.272,85.665,2,3. Need Attention
Cust-22142,35.2243,79.162,82.667,2,3. Need Attention
Cust-22143,36.92648,16.241,45.924,6,5. One-Time Buy
Cust-22144,76.3707,84.536,50.284,4,2. Potential Loyal
Cust-22145,53.9082,41.855,76.814,3,4. At Risk
Cust-22146,45.86365,51.272,70.524,3,4. At Risk
Cust-22147,35.2243,16.241,37.564,6,5. One-Time Buy
Cust-22148,37.34277,16.241,26.972,0,7. Lost
Cust-22149,81.51625,74.91,73.995,5,1. Loyal
Cust-22150,52.53925,30.522,38.528,1,6. Dormant
Cust-22151,35.37741,30.522,29.151,6,5. One-Time Buy
Cust-22152,57.55271,74.91,89.827,2,3. Need Attention
Cust-22153,88.90935,85.466,94.374,5,1. Loyal
Cust-22154,44.0594,89.751,92.436,2,3. Need Attention
Cust-22155,35.96081,16.241,5.913,0,7. Lost
Cust-22156,45.86365,58.376,67.172,3,4. At Risk
Cust-22157,70.00731,58.376,60.348,4,2. Potential Loyal
Cust-22158,35.96081,30.522,62.124,6,5. One-Time Buy
Cust-22159,98.93226,63.962,77.958,5,1. Loyal
Cust-22160,34.47679,16.241,8.067,0,7. Lost
Cust-22161,77.66159,88.323,84.594,5,1. Loyal
Cust-22162,63.54985,68.422,75.174,2,3. Need Attention
Cust-22163,71.61742,51.272,32.83,4,2. Potential Loyal
Cust-22164,34.28766,41.855,59.066,3,4. At Risk
Cust-22165,48.10319,30.522,67.301,3,4. At Risk
Cust-22166,83.51563,68.422,51.989,4,2. Potential Loyal
Cust-22167,83.51563,41.855,56.344,4,2. Potential Loyal
Cust-22168,59.80426,88.323,60.77,2,3. Need Attention
Cust-22169,36.74035,41.855,38.098,6,5. One-Time Buy
